INFO     airtest.core.api:cv.py:59 Try finding: Template(E:\AUTO\pythonProject\modules\function\QiuQIu\img\qiuqiu_enter.png)
DEBUG    airtest.core.api:cv.py:189 try match with MultiScaleTemplateMatchingPre
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.00 s.
DEBUG    airtest.core.api:cv.py:189 try match with TemplateMatching
DEBUG    airtest.aircv.template_matching:template_matching.py:84 [Template] threshold=0.7, result={'result': (2048, 959), 'rectangle': ((1976, 919), (1976, 999), (2120, 999), (2120, 919)), 'confidence': 0.3310283124446869}
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.05 s.
DEBUG    airtest.core.api:cv.py:189 try match with SIFTMatching
DEBUG    airtest.aircv.keypoint_base:keypoint_base.py:85 [SIFT] threshold=0.7, result={'result': (1548, 367), 'rectangle': [(1456, 319), (1456, 416), (1641, 416), (1641, 319)], 'confidence': 0.9716937243938446}
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.48 s.
DEBUG    airtest.core.api:cv.py:155 match result: {'result': (1548, 367), 'rectangle': [(1456, 319), (1456, 416), (1641, 416), (1641, 319)], 'confidence': 0.9716937243938446, 'time': 0.4796257019042969}
DEBUG    airtest.core.android.adb:adb.py:187 E:\MuMu Player 12\shell\adb.exe -s emulator-5554 shell input tap 1548 367
