"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1864","test_back","modules.function.Remi","Fri Jul 04 14:41:43 CST 2025","passed","Fri Jul 04 14:41:45 CST 2025","TestRemiEnter","test_remiEnter","",""
"","0","test_connect","modules.function.login","Fri Jul 04 14:40:30 CST 2025","passed","Fri Jul 04 14:40:30 CST 2025","TestLogin","test_login","",""
"","1176","test_isInMain","modules.function.login","Fri Jul 04 14:41:26 CST 2025","passed","Fri Jul 04 14:41:27 CST 2025","TestLogin","test_login","",""
"","30636","test_closeWindows","modules.function.login","Fri Jul 04 14:40:54 CST 2025","passed","Fri Jul 04 14:41:24 CST 2025","TestLogin","test_login","",""
"","2308","test_enter","modules.function.QiuQIu","Fri Jul 04 14:41:46 CST 2025","passed","Fri Jul 04 14:41:49 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","1732","test_back","modules.function.QiuQIu","Fri Jul 04 14:41:50 CST 2025","passed","Fri Jul 04 14:41:51 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","20643","test_appstart","modules.function.login","Fri Jul 04 14:40:32 CST 2025","passed","Fri Jul 04 14:40:53 CST 2025","TestLogin","test_login","",""
"","2124","test_enter","modules.function.Remi","Fri Jul 04 14:41:40 CST 2025","passed","Fri Jul 04 14:41:42 CST 2025","TestRemiEnter","test_remiEnter","",""
"","4346","test_enter","modules.function.KamarBiasa","Fri Jul 04 14:41:32 CST 2025","passed","Fri Jul 04 14:41:36 CST 2025","TestKamarEnter","test_kamar","",""
"","1805","test_back","modules.function.KamarBiasa","Fri Jul 04 14:41:37 CST 2025","passed","Fri Jul 04 14:41:39 CST 2025","TestKamarEnter","test_kamar","",""
